time,mac,id,lat,long,board,numGoodNbrs,numNbrs
1478170597,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,8,13,huron
1478170597,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,11,15,huron
1478170597,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,10,15,huron
1478170597,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,4,15,huron
1478170597,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,13,15,huron
1478170597,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,10,15,huron
1478170597,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478174202,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,12,15,pit
1478174202,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,11,15,huron
1478174202,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,13,15,huron
1478174202,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,7,14,huron
1478174202,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,10,15,huron
1478174202,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,12,15,huron
1478174202,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,11,15,huron
1478174202,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,13,15,huron
1478174202,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,5,14,huron
1478174202,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,8,13,huron
1478174202,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478174202,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,8,15,huron
1478174202,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,3,15,huron
1478174202,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,10,15,huron
1478174202,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,12,15,huron
1478174202,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478177806,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,12,15,pit
1478177806,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,11,15,huron
1478177806,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,13,15,huron
1478177806,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,7,14,huron
1478177806,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478177806,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,12,15,huron
1478177806,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,11,15,huron
1478177806,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,12,15,huron
1478177806,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478177806,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,7,13,huron
1478177806,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,13,15,huron
1478177806,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,8,15,huron
1478177806,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,3,15,huron
1478177806,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,12,15,huron
1478177806,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478177806,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478181409,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478181409,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,12,15,huron
1478181409,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,13,15,huron
1478181409,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,8,14,huron
1478181409,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478181409,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,11,15,huron
1478181409,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,11,15,huron
1478181409,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,13,15,huron
1478181409,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,5,14,huron
1478181409,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,7,13,huron
1478181409,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,11,15,huron
1478181409,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,9,15,huron
1478181409,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,2,15,huron
1478181409,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,9,15,huron
1478181409,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478181409,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,14,15,huron
1478185014,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,12,15,pit
1478185014,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,11,15,huron
1478185014,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,13,15,huron
1478185014,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,6,14,huron
1478185014,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,12,15,huron
1478185014,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,11,15,huron
1478185014,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,12,15,huron
1478185014,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,12,15,huron
1478185014,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,5,14,huron
1478185014,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,6,13,huron
1478185014,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478185014,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,8,15,huron
1478185014,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,2,15,huron
1478185014,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,10,15,huron
1478185014,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478185014,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478188617,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,12,15,pit
1478188617,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,13,15,huron
1478188617,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,12,15,huron
1478188617,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,7,14,huron
1478188617,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,12,15,huron
1478188617,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,11,15,huron
1478188617,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,10,15,huron
1478188617,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,12,15,huron
1478188617,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478188617,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,8,13,huron
1478188617,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478188617,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,7,15,huron
1478188617,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,2,15,huron
1478188617,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,11,15,huron
1478188617,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478188617,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,14,15,huron
1478192220,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,11,15,pit
1478192220,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,12,15,huron
1478192220,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,13,15,huron
1478192220,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,7,14,huron
1478192220,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478192220,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,12,15,huron
1478192220,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,12,15,huron
1478192220,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,13,15,huron
1478192220,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,5,14,huron
1478192220,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,9,13,huron
1478192220,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478192220,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,8,15,huron
1478192220,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,3,15,huron
1478192220,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,10,15,huron
1478192220,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,12,15,huron
1478192220,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,14,15,huron
1478195825,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,11,15,pit
1478195825,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,13,15,huron
1478195825,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,12,15,huron
1478195825,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,7,14,huron
1478195825,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,12,15,huron
1478195825,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,12,15,huron
1478195825,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,12,15,huron
1478195825,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,12,15,huron
1478195825,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478195825,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,8,13,huron
1478195825,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478195825,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,8,15,huron
1478195825,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,4,15,huron
1478195825,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,9,15,huron
1478195825,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478195825,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478199429,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,12,15,pit
1478199429,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,12,15,huron
1478199429,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,13,15,huron
1478199429,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,6,14,huron
1478199429,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478199429,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,12,15,huron
1478199429,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,10,15,huron
1478199429,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,11,15,huron
1478199429,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,5,14,huron
1478199429,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,6,13,huron
1478199429,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478199429,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,7,15,huron
1478199429,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,4,15,huron
1478199429,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,11,15,huron
1478199429,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478199429,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478203033,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,12,15,pit
1478203033,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,12,15,huron
1478203033,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,12,15,huron
1478203033,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,8,14,huron
1478203033,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478203033,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,12,15,huron
1478203033,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,12,15,huron
1478203033,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,11,15,huron
1478203033,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478203033,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,7,13,huron
1478203033,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478203033,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,9,15,huron
1478203033,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,2,15,huron
1478203033,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,7,15,huron
1478203033,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,12,15,huron
1478203033,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478206637,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,12,15,pit
1478206637,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,11,15,huron
1478206637,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,13,15,huron
1478206637,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,6,14,huron
1478206637,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478206637,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,13,15,huron
1478206637,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,10,15,huron
1478206637,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,11,15,huron
1478206637,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478206637,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,7,13,huron
1478206637,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,11,15,huron
1478206637,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,8,15,huron
1478206637,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,4,15,huron
1478206637,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,11,15,huron
1478206637,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478206637,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478210240,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478210240,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,13,15,huron
1478210240,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,13,15,huron
1478210240,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,6,14,huron
1478210240,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,12,15,huron
1478210240,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,12,15,huron
1478210240,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,11,15,huron
1478210240,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,11,15,huron
1478210240,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478210240,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,6,13,huron
1478210240,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478210240,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,9,15,huron
1478210240,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,4,15,huron
1478210240,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,10,15,huron
1478210240,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478210240,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478213844,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478213844,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,11,15,huron
1478213844,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,13,15,huron
1478213844,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,8,14,huron
1478213844,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478213844,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,13,15,huron
1478213844,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,12,15,huron
1478213844,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,12,15,huron
1478213844,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,5,14,huron
1478213844,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,8,13,huron
1478213844,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478213844,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,8,15,huron
1478213844,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,6,15,huron
1478213844,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,12,15,huron
1478213844,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478213844,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478217449,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478217449,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,13,15,huron
1478217449,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,12,15,huron
1478217449,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,8,14,huron
1478217449,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,12,15,huron
1478217449,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,13,15,huron
1478217449,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,12,15,huron
1478217449,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,12,15,huron
1478217449,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,5,14,huron
1478217449,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,6,13,huron
1478217449,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478217449,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,10,15,huron
1478217449,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,3,15,huron
1478217449,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,10,15,huron
1478217449,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478217449,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,14,15,huron
1478221053,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478221053,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,12,15,huron
1478221053,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,12,15,huron
1478221053,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,7,14,huron
1478221053,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,12,15,huron
1478221053,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,11,15,huron
1478221053,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,12,15,huron
1478221053,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,13,15,huron
1478221053,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478221053,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,8,13,huron
1478221053,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478221053,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,10,15,huron
1478221053,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,3,15,huron
1478221053,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,12,15,huron
1478221053,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,10,15,huron
1478221053,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478224656,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478224656,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,12,15,huron
1478224656,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,12,15,huron
1478224656,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,8,14,huron
1478224656,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,12,15,huron
1478224656,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,13,15,huron
1478224656,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,11,15,huron
1478224656,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,13,15,huron
1478224656,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478224656,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,6,13,huron
1478224656,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478224656,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,6,15,huron
1478224656,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,5,15,huron
1478224656,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,11,15,huron
1478224656,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478224656,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478228261,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478228261,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,11,15,huron
1478228261,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,11,15,huron
1478228261,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,6,14,huron
1478228261,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478228261,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,11,15,huron
1478228261,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,10,15,huron
1478228261,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,10,15,huron
1478228261,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,3,14,huron
1478228261,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,7,13,huron
1478228261,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478228261,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,7,15,huron
1478228261,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,4,15,huron
1478228261,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,12,15,huron
1478228261,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478228261,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478231864,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478231864,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,12,15,huron
1478231864,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,11,15,huron
1478231864,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,8,14,huron
1478231864,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,12,15,huron
1478231864,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,13,15,huron
1478231864,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,10,15,huron
1478231864,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,14,15,huron
1478231864,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478231864,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,7,13,huron
1478231864,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,11,15,huron
1478231864,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,9,15,huron
1478231864,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,4,15,huron
1478231864,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,11,15,huron
1478231864,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,12,15,huron
1478231864,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478235468,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478235468,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,11,15,huron
1478235468,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,12,15,huron
1478235468,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,6,14,huron
1478235468,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478235468,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,12,15,huron
1478235468,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,12,15,huron
1478235468,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,11,15,huron
1478235468,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478235468,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,8,13,huron
1478235468,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,11,15,huron
1478235468,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,8,15,huron
1478235468,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,5,15,huron
1478235468,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,12,15,huron
1478235468,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,11,15,huron
1478235468,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478239073,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,13,15,pit
1478239073,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,12,15,huron
1478239073,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,11,15,huron
1478239073,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,8,14,huron
1478239073,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,12,15,huron
1478239073,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,13,15,huron
1478239073,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,12,15,huron
1478239073,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,12,15,huron
1478239073,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,3,14,huron
1478239073,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,7,13,huron
1478239073,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,12,15,huron
1478239073,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,9,15,huron
1478239073,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,5,15,huron
1478239073,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,12,15,huron
1478239073,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,12,15,huron
1478239073,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478242676,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,12,15,pit
1478242676,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,11,15,huron
1478242676,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,12,15,huron
1478242676,00-17-0d-00-00-58-e9-cb,4,48.84198,2.38429,8,15,huron
1478242676,00-17-0d-00-00-58-f8-8f,5,48.84195,2.38446,11,15,huron
1478242676,00-17-0d-00-00-38-03-dd,6,48.84202,2.3845,12,15,huron
1478242676,00-17-0d-00-00-58-f5-23,7,48.84199,2.38449,11,15,huron
1478242676,00-17-0d-00-00-58-f4-f8,8,48.84202,2.3844,12,15,huron
1478242676,00-17-0d-00-00-58-f5-58,9,48.84176,2.3843,4,14,huron
1478242676,00-17-0d-00-00-58-f3-17,10,48.84186,2.38441,8,14,huron
1478242676,00-17-0d-00-00-58-f5-3c,11,48.84195,2.38442,11,15,huron
1478242676,00-17-0d-00-00-58-f9-c4,12,48.84197,2.38434,9,15,huron
1478242676,00-17-0d-00-00-58-eb-64,13,48.8419,2.38424,2,15,huron
1478242676,00-17-0d-00-00-38-00-63,14,48.84202,2.3845,11,15,huron
1478242676,00-17-0d-00-00-58-e9-ca,15,48.84205,2.38443,13,15,huron
1478242676,00-17-0d-00-00-58-eb-67,16,48.84192,2.3844,13,15,huron
1478246281,00-17-0d-00-00-30-5d-39,1,48.84207,2.38436,12,15,pit
1478246281,00-17-0d-00-00-58-eb-5b,2,48.84202,2.38431,12,15,huron
1478246281,00-17-0d-00-00-38-04-25,3,48.84206,2.3843,11,15,huron
