time,mac,neighborMac,neighborFlag,rssi,numTxPackets,numTxFailures,numRxPackets,mote_board,ngbr_board,distance
1467214898,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,46,DC9018,DC9003,74.57
1467214898,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,39,DC9018,DC9003,67.12
1467214898,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-60,0,0,39,DC9018,DC9003,11.03
1467214898,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,48,DC9018,DC9003,53.87
1467214898,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,46,DC9018,DC9003,37.79
1467214898,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,125,2,1,DC9018,,131.21
1467214898,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-75,0,0,43,DC9018,DC9003,31.46
1467214898,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-80,69,1,1,DC9018,DC9003,49.69
1467216114,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,50,DC9018,DC9003,74.57
1467216114,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,42,DC9018,DC9003,67.12
1467216114,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,42,DC9018,DC9003,11.03
1467216114,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,50,DC9018,DC9003,53.87
1467216114,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,50,DC9018,DC9003,37.79
1467216114,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,119,0,2,DC9018,,131.21
1467216114,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-73,0,0,41,DC9018,DC9003,31.46
1467216114,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-83,67,1,2,DC9018,DC9003,49.69
1467216954,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,48,DC9018,DC9003,74.57
1467216954,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,40,DC9018,DC9003,67.12
1467216954,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,41,DC9018,DC9003,11.03
1467216954,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-85,0,0,48,DC9018,DC9003,53.87
1467216954,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,46,DC9018,DC9003,37.79
1467216954,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,127,0,2,DC9018,,131.21
1467216954,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-75,0,0,45,DC9018,DC9003,31.46
1467216954,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-84,66,1,2,DC9018,DC9003,49.69
1467217900,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,51,DC9018,DC9003,74.57
1467217900,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,43,DC9018,DC9003,67.12
1467217900,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-62,0,0,42,DC9018,DC9003,11.03
1467217900,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,50,DC9018,DC9003,53.87
1467217900,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,51,DC9018,DC9003,37.79
1467217900,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,114,0,2,DC9018,,131.21
1467217900,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-75,0,0,42,DC9018,DC9003,31.46
1467217900,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-82,66,0,2,DC9018,DC9003,49.69
1467218628,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-85,0,0,46,DC9018,DC9003,74.57
1467218628,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,38,DC9018,DC9003,67.12
1467218628,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,41,DC9018,DC9003,11.03
1467218628,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,47,DC9018,DC9003,53.87
1467218628,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,45,DC9018,DC9003,37.79
1467218628,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-80,125,0,1,DC9018,,131.21
1467218628,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-75,0,0,43,DC9018,DC9003,31.46
1467218628,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-87,64,0,1,DC9018,DC9003,49.69
1467219714,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,51,DC9018,DC9003,74.57
1467219714,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,42,DC9018,DC9003,67.12
1467219714,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,40,DC9018,DC9003,11.03
1467219714,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,51,DC9018,DC9003,53.87
1467219714,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,51,DC9018,DC9003,37.79
1467219714,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,115,0,2,DC9018,,131.21
1467219714,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-77,0,0,42,DC9018,DC9003,31.46
1467219714,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-81,67,0,2,DC9018,DC9003,49.69
1467220614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,47,DC9018,DC9003,74.57
1467220614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-84,0,0,40,DC9018,DC9003,67.12
1467220614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,44,DC9018,DC9003,11.03
1467220614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-85,0,0,48,DC9018,DC9003,53.87
1467220614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,46,DC9018,DC9003,37.79
1467220614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,126,0,2,DC9018,,131.21
1467220614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-74,0,0,43,DC9018,DC9003,31.46
1467220614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-84,65,0,2,DC9018,DC9003,49.69
1467221255,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,50,DC9018,DC9003,74.57
1467221255,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-84,0,0,40,DC9018,DC9003,67.12
1467221255,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,39,DC9018,DC9003,11.03
1467221255,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,50,DC9018,DC9003,53.87
1467221255,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,50,DC9018,DC9003,37.79
1467221255,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-78,117,0,2,DC9018,,131.21
1467221255,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,45,DC9018,DC9003,31.46
1467221255,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-82,67,1,2,DC9018,DC9003,49.69
1467222414,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,48,DC9018,DC9003,74.57
1467222414,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,40,DC9018,DC9003,67.12
1467222414,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,41,DC9018,DC9003,11.03
1467222414,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,48,DC9018,DC9003,53.87
1467222414,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,47,DC9018,DC9003,37.79
1467222414,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-78,124,1,1,DC9018,,131.21
1467222414,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,43,DC9018,DC9003,31.46
1467222414,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-80,65,0,1,DC9018,DC9003,49.69
1467223314,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,50,DC9018,DC9003,74.57
1467223314,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-81,0,0,41,DC9018,DC9003,67.12
1467223314,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,40,DC9018,DC9003,11.03
1467223314,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,50,DC9018,DC9003,53.87
1467223314,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,48,DC9018,DC9003,37.79
1467223314,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-79,118,0,2,DC9018,,131.21
1467223314,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,44,DC9018,DC9003,31.46
1467223314,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-83,66,0,2,DC9018,DC9003,49.69
1467224214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,49,DC9018,DC9003,74.57
1467224214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,41,DC9018,DC9003,67.12
1467224214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,42,DC9018,DC9003,11.03
1467224214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,49,DC9018,DC9003,53.87
1467224214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,48,DC9018,DC9003,37.79
1467224214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,121,0,2,DC9018,,131.21
1467224214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-75,0,0,42,DC9018,DC9003,31.46
1467224214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-84,65,0,2,DC9018,DC9003,49.69
1467224823,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,48,DC9018,DC9003,74.57
1467224823,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-83,0,0,40,DC9018,DC9003,67.12
1467224823,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,39,DC9018,DC9003,11.03
1467224823,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,49,DC9018,DC9003,53.87
1467224823,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,48,DC9018,DC9003,37.79
1467224823,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,125,1,2,DC9018,,131.21
1467224823,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,43,DC9018,DC9003,31.46
1467224823,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-84,67,0,2,DC9018,DC9003,49.69
1467225853,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,48,DC9018,DC9003,74.57
1467225853,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-84,0,0,41,DC9018,DC9003,67.12
1467225853,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-62,0,0,37,DC9018,DC9003,11.03
1467225853,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,49,DC9018,DC9003,53.87
1467225853,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,49,DC9018,DC9003,37.79
1467225853,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,122,0,1,DC9018,,131.21
1467225853,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,41,DC9018,DC9003,31.46
1467225853,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-82,66,1,1,DC9018,DC9003,49.69
1467226493,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-85,0,0,47,DC9018,DC9003,74.57
1467226493,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,40,DC9018,DC9003,67.12
1467226493,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-60,0,0,39,DC9018,DC9003,11.03
1467226493,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-83,0,0,49,DC9018,DC9003,53.87
1467226493,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,47,DC9018,DC9003,37.79
1467226493,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-76,127,2,2,DC9018,,131.21
1467226493,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-75,0,0,44,DC9018,DC9003,31.46
1467226493,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-80,68,1,2,DC9018,DC9003,49.69
1467227813,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-85,0,0,51,DC9018,DC9003,74.57
1467227813,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,42,DC9018,DC9003,67.12
1467227813,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,41,DC9018,DC9003,11.03
1467227813,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,51,DC9018,DC9003,53.87
1467227813,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,51,DC9018,DC9003,37.79
1467227813,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-78,118,0,2,DC9018,,131.21
1467227813,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-74,0,0,41,DC9018,DC9003,31.46
1467227813,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-84,66,0,2,DC9018,DC9003,49.69
1467228715,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,47,DC9018,DC9003,74.57
1467228715,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,40,DC9018,DC9003,67.12
1467228715,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,39,DC9018,DC9003,11.03
1467228715,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-85,0,0,48,DC9018,DC9003,53.87
1467228715,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-79,0,0,46,DC9018,DC9003,37.79
1467228715,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-80,125,0,2,DC9018,,131.21
1467228715,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,45,DC9018,DC9003,31.46
1467228715,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-84,66,0,2,DC9018,DC9003,49.69
1467229614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,49,DC9018,DC9003,74.57
1467229614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-84,0,0,43,DC9018,DC9003,67.12
1467229614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-62,0,0,39,DC9018,DC9003,11.03
1467229614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,49,DC9018,DC9003,53.87
1467229614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,50,DC9018,DC9003,37.79
1467229614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-79,119,0,3,DC9018,,131.21
1467229614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,41,DC9018,DC9003,31.46
1467229614,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-84,66,0,1,DC9018,DC9003,49.69
1467230514,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-85,0,0,48,DC9018,DC9003,74.57
1467230514,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-84,0,0,39,DC9018,DC9003,67.12
1467230514,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-62,0,0,41,DC9018,DC9003,11.03
1467230514,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,48,DC9018,DC9003,53.87
1467230514,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,48,DC9018,DC9003,37.79
1467230514,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-79,126,0,2,DC9018,,131.21
1467230514,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,44,DC9018,DC9003,31.46
1467230514,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-88,65,0,2,DC9018,DC9003,49.69
1467231351,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,49,DC9018,DC9003,74.57
1467231351,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-86,0,0,41,DC9018,DC9003,67.12
1467231351,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,38,DC9018,DC9003,11.03
1467231351,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-85,0,0,50,DC9018,DC9003,53.87
1467231351,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,50,DC9018,DC9003,37.79
1467231351,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-78,119,0,2,DC9018,,131.21
1467231351,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-77,0,0,42,DC9018,DC9003,31.46
1467231351,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-81,66,0,2,DC9018,DC9003,49.69
1467232188,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,50,DC9018,DC9003,74.57
1467232188,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-85,0,0,41,DC9018,DC9003,67.12
1467232188,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,42,DC9018,DC9003,11.03
1467232188,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-85,0,0,48,DC9018,DC9003,53.87
1467232188,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,45,DC9018,DC9003,37.79
1467232188,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-78,124,0,2,DC9018,,131.21
1467232188,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,43,DC9018,DC9003,31.46
1467232188,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-86,65,0,2,DC9018,DC9003,49.69
1467233214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,49,DC9018,DC9003,74.57
1467233214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-84,0,0,39,DC9018,DC9003,67.12
1467233214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,39,DC9018,DC9003,11.03
1467233214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,51,DC9018,DC9003,53.87
1467233214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,49,DC9018,DC9003,37.79
1467233214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-78,117,1,1,DC9018,,131.21
1467233214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-76,0,0,42,DC9018,DC9003,31.46
1467233214,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-82,67,1,1,DC9018,DC9003,49.69
1467234115,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,49,DC9018,DC9003,74.57
1467234115,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-86,0,0,41,DC9018,DC9003,67.12
1467234115,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,42,DC9018,DC9003,11.03
1467234115,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,49,DC9018,DC9003,53.87
1467234115,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,48,DC9018,DC9003,37.79
1467234115,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,123,0,2,DC9018,,131.21
1467234115,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-75,0,0,43,DC9018,DC9003,31.46
1467234115,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-82,67,1,2,DC9018,DC9003,49.69
1467235014,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,50,DC9018,DC9003,74.57
1467235014,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-83,0,0,41,DC9018,DC9003,67.12
1467235014,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-62,0,0,40,DC9018,DC9003,11.03
1467235014,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,50,DC9018,DC9003,53.87
1467235014,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,48,DC9018,DC9003,37.79
1467235014,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-81,120,1,2,DC9018,,131.21
1467235014,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-75,0,0,44,DC9018,DC9003,31.46
1467235014,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-83,67,0,2,DC9018,DC9003,49.69
1467235910,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,49,DC9018,DC9003,74.57
1467235910,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-84,0,0,41,DC9018,DC9003,67.12
1467235910,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-62,0,0,40,DC9018,DC9003,11.03
1467235910,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,48,DC9018,DC9003,53.87
1467235910,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,49,DC9018,DC9003,37.79
1467235910,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-77,120,0,2,DC9018,,131.21
1467235910,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-73,0,0,42,DC9018,DC9003,31.46
1467235910,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-84,66,0,2,DC9018,DC9003,49.69
1467236814,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,48,DC9018,DC9003,74.57
1467236814,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-81,0,0,41,DC9018,DC9003,67.12
1467236814,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-61,0,0,40,DC9018,DC9003,11.03
1467236814,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,49,DC9018,DC9003,53.87
1467236814,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,48,DC9018,DC9003,37.79
1467236814,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-79,122,1,1,DC9018,,131.21
1467236814,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-73,0,0,43,DC9018,DC9003,31.46
1467236814,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-83,67,1,1,DC9018,DC9003,49.69
1467237663,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,52,DC9018,DC9003,74.57
1467237663,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-84,0,0,42,DC9018,DC9003,67.12
1467237663,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-62,0,0,39,DC9018,DC9003,11.03
1467237663,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-84,0,0,50,DC9018,DC9003,53.87
1467237663,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-77,0,0,50,DC9018,DC9003,37.79
1467237663,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-b0-00-cc,0,-78,118,0,2,DC9018,,131.21
1467237663,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-03-82,0,-72,0,0,42,DC9018,DC9003,31.46
1467237663,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-69,0,-82,66,0,2,DC9018,DC9003,49.69
1467238535,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-78,0,-84,0,0,47,DC9018,DC9003,74.57
1467238535,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-02-4b,0,-84,0,0,40,DC9018,DC9003,67.12
1467238535,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-3f-f8-20,0,-60,0,0,40,DC9018,DC9003,11.03
1467238535,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-ab,0,-82,0,0,49,DC9018,DC9003,53.87
1467238535,00-17-0d-00-00-30-60-ef,00-17-0d-00-00-60-05-5f,0,-76,0,0,46,DC9018,DC9003,37.79
